Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
AB_PlayerTransferBtn,Player Transfer,Player Transfer,Přenos hráče,Überweisung,Переводы игрокам,Transfer gracza,Player Transfer,Trasferimento del giocatore,Transferencia de jugador,Transfert de joueur,球員轉會,プレーヤーの転送,Transferir para jogador,球员转会,
AB_InsertClanNameAndTag,Please enter an Clan name and a Clantag first!,Please enter an Clan name and a Clantag first!,Please enter an Clan name and a Clantag first!,Bitte gib einen Clan name und einen Clantag an!,"Пожалуйста, сначала введите название и тег клана!",Wprowadź najpierw nazwę klanu i Clantag!,"Kérjük, először írja be a klán nevét és a Clantag-ot!","Per favore, inserisci prima un nome di Clan e un Clantag!",¡Introduzca primero un nombre de clan y un clantag!,Renseignez d'abord un nom et un tag de clan !,請先輸入氏族名稱和氏族標籤！,最初にクラン名とクランタグを入力してください！,"Por favor, coloque o nome do Clan e a Tag primeiro!",请先输入氏族名称和氏族标签！
AB_NoPlayerSelected,No Player was selected in list!,No Player was selected in list!,V seznamu nebyl vybrán žádný hráč!,Kein Spieler wurde in der Liste markiert!,Не выбран ни один игрок!,Żaden gracz nie został wybrany na liście!,Nincs játékos kiválasztva a listában!,Nessun giocatore è stato selezionato nell'elenco!,¡No se seleccionó ningún jugador en la lista!,Aucun joueur de sélectionné !,列表中未選擇任何玩家！,リストにプレイヤーが選択されていません！,Nenhum jogador selecionado na lista!,列表中未选择任何玩家！
AB_ClanTagOrNameIsNotValid,Clan name or clantag is not valid!,Clan name or clantag is not valid!,Jméno klanu nebo jmenovka nejsou platné!,Clan name oder Clan tag ist nicht verfügbar!,Название клана или клантэг недействительны!,Nazwa klanu lub clantag jest nieprawidłowa!,A klán neve vagy klantagja nem érvényes!,Il nome del clan o il clantag non sono validi!,¡El nombre del clan o clantag no es válido!,Le nom ou tag de clan n'est pas valide !,氏族名稱或clantag無效！,クラン名またはクランタグは無効です！,Nome do Clan ou Tag inválido!,氏族名称或clantag无效！
AB_PlayerPopulationIsToLow,The Player population is to low atm!,The Player population is to low atm!,Populace hráčů je nízký atm!,Es sind aktuell zu wenig spieler online!,Не достаточно игроков онлайн!,Populacja graczy jest zbyt niska!,A játékosok száma alacsony atm!,La popolazione dei giocatori è troppo bassa!,¡El nombre del clan o clantag no es válido!,La population de joueur est trop faible pour le moment !,玩家人數達到了較低的atm！,プレイヤーの人口は低気圧になっています！,Poucos jogadores online no momento!,玩家人数达到了较低的atm！
AB_SucesfullyRob,You successfully robbed this atm you got:,You sucesfully robbed this atm you got:,"Úspěšně jste okradli tento bankomat, který jste dostali:",Du hast den Bankautomat ausgeraubt und hast,"Вы успешно ограбили банкомат, на сумму:","Udało Ci się obrabować ten bankomat, który otrzymałeś:","Sikeresen kirabolta ezt az automatát, amelyet kapott:",Hai rubato con successo questo bancomat hai:,Robaste con éxito este cajero automático que obtuviste:,"Vous avez braqué ce distributeur avec succès, vous empochez :",您成功搶劫了這個擁有的atm：,あなたはあなたが得たこのATMを首尾よく奪いました：,"Você roubou o banco, você conseguiu:",您成功抢劫了这个拥有的atm：
AB_BankAlreadyFullPayCheckError,Error with adding Paycheck bank is already full!,Error with adding Paycheck bank is already full!,Chyba při přidávání výplatní banky je již plná!,Paycheck kann nicht hinzugefügt werden da dein konto voll ist!,"Ошибка добавления платежа, банк переполнен!",Błąd podczas dodawania banku Paycheck jest już pełny!,Hiba történt a Paycheck bank hozzáadásával!,Errore durante l'aggiunta dello stipendio. La banca è già piena!,¡Error al agregar el banco Paycheck ya está lleno!,"Impossible d'encaisser ce chèque, votre banque est pleine !",添加工資支票銀行的錯誤已滿！,給与銀行の追加エラーはすでにいっぱいです！,"Erro ao adicionar pagamento, o banco está cheio!",添加工资支票银行的错误已满！
AB_ErrorMinAmountNotReachedTransfer,Minimum amount to transfer is:,Minimum amount to transfer is:,Minimální částka k převodu je:,Der mindest Überweisungsbetrag beträgt:,Минимальная сумма перевода:,Minimalna kwota przelewu to:,Az átutalás minimális összege:,L'importo minimo da trasferire è:,El monto mínimo a transferir es:,Le montant minimum de transfert est :,最低轉賬金額為：,転送する最小金額は次のとおりです。,Valor mínimo de transferência é:,最低转账金额为：
AB_PlayerNotAvaibleForTransfers,This Player is currently not avaible for transfers,This Player is currently not avaible for transfers,Tento přehrávač momentálně není k dispozici pro převody,Dieser Spieler kann keine Überweisungen erhalten!,Этот игрок сейчас недоступен для трансферов,Ten gracz nie jest obecnie dostępny do transferów,Ez a játékos jelenleg nem választható át,Questo giocatore non è attualmente disponibile per i trasferimenti,"Actualmente, este jugador no está disponible para transferencias",Ce joueur n'est pour le moment pas disponible pour un transfert,該玩家目前無法進行轉賬,このプレーヤーは現在、転送に利用できません,Esse jogador não está disponível para transferências,该玩家目前无法进行转账
AB_TransferSucess,Successfully transferred:,Sucesfully transfered:,Úspěšně převedeno:,Erfolgreich überweisen:,Успешно переведено:,Pomyślnie przeniesiono:,Sikeresen átutalva:,Trasferito con successo:,Transferido con éxito:,Transfert réussi de :,成功轉移：,正常に転送されました：,Transferido com sucesso:,成功转移：
AB_ToPlayer,to player:,to player:,horní vrstva:,zum Spieler:,Для игрока:,najwyższa warstwa:,felső réteg:,strato superiore:,Al jugador:,Au joueur :,頂層：,上層：,Para o jogador:,顶层：
AB_FromPlayer,from player:,from player:,od hráče:,vom Spieler:,от игрока:,od gracza:,a játékostól:,from player:,Del jugador:,Du joueur :,來自玩家：,プレイヤーから：,Do jogador:,来自玩家：
AB_TransferRecived,You recived:,You recived:,Obdržel jste:,Sie erhielten:,Вы получили:,Sie erhielten:,Sie erhielten:,Hai ricevuto:,Recibiste:,Vous avez reçu :,你收到：,あなたは受け取った：,Você recebeu:,你收到：
AB_PlayerHasNoBankAccount,It looks like this player has no bank account yet!,It looks like this player has no bank account yet!,"Vypadá to, že tento hráč ještě nemá bankovní účet!",Dieser Spieler hat keinen Bank Account!,"Похоже, у этого игрока еще нет банковского счета!","Wygląda na to, że ten gracz nie ma jeszcze konta bankowego!","Úgy tűnik, hogy ennek a játékosnak még nincs bankszámlája!",Sembra che questo giocatore non abbia ancora un conto in banca!,¡Parece que este jugador aún no tiene cuenta bancaria!,Il semblerait que ce joueur n'ai pas encore de compte !,該玩家似乎還沒有銀行帳戶,このプレイヤーはまだ銀行口座を持っていないようです！,Parece que esse jogador não tem uma conta bancária ainda!,该玩家似乎还没有银行帐户！
AB_YouDontHave,You dont have,You dont have,Nemáš,Du hast nicht,У вас нет,Nie masz,Nincs,Non hai,No tienes,Vous n'avez pas,你沒有,あなたは持っていません,Você não tem,你没有
AB_InYourInventory,in your Inventory!,in your Inventory!,ve vašem inventáři!,in deinem Inventar,В вашем инвентаре!,w twoim ekwipunku!,a Készletében!,nel tuo inventario!,en tu Inventario!,dans votre inventaire !,在您的庫存中！,あなたの在庫に！,No seu inventário!,在您的库存中！
AB_SucesfullyCreatedClan,Sucesfully created clan with name:,Sucesfully created clan with name:,Úspěšně vytvořený klan se jménem:,Clan wurde erstellt mit name:,Успешно создан клан с названием:,Pomyślnie utworzono klan o nazwie:,Sucesfully created clan with name:,Clan creato con successo con nome:,Clan creado con éxito con nombre:,Vous avez crée le clan,成功創建名稱為：,次の名前でクランが正常に作成されました：,Clan criado com sucesso! Com o nome:,成功创建名称为：
AB_ErrorPlayerHasAlreadyAnClan,This player has already an clan!,This player has already an clan!,Tento hráč již má klan!,Der Spieler hat bereits einen clan!,У этого игрока уже есть клан!,Ten gracz ma już klan!,Ennek a játékosnak már van klánja!,Questo giocatore ha già un clan!,¡Este jugador ya tiene un clan!,Ce joueur fait déjà parti d'un can,該玩家已經有氏族！,このプレイヤーはすでに一族を持っています！,Esse jogador já tem um clan!,该玩家已经有氏族！
AB_NotEnoughtPermissions,Sorry but you dont have the required rights to do so!,Sorry but you dont have the required rights to do so!,"Omlouváme se, ale nemáte k tomu potřebná práva!",Du hast nicht die benötigten rechte das zu machen!,"Извините, но у вас нет на это прав!","Przepraszamy, ale nie masz do tego wymaganych praw!","Sajnáljuk, de ehhez nincsenek meg a szükséges jogai!",Siamo spiacenti ma non disponi dei diritti necessari per farlo!,"Lo sentimos, pero no tiene los derechos necesarios para hacerlo.",Vous n'avez pas les permissions nécessaires !,抱歉，您沒有執行此操作所需的權利！,申し訳ありませんが、あなたにはそうするために必要な権利がありません！,"Desculpe, mas você não tem as permissões para fazer isso!",抱歉，您没有执行此操作所需的权利！
AB_ClanMaxPlayerLimitReached,Sorry but you clan reached the max amount of players!,Sorry but you clan reached the max amount of players!,"Omlouváme se, ale váš klan dosáhl maximálního počtu hráčů!",Der Clan hat bereits die Maximale spielerzahl erreicht!,В клане достигнуто максимальное количество игроков!,"Przepraszamy, ale Twój klan osiągnął maksymalną liczbę graczy!","Sajnáljuk, de a klán elérte a maximális játékosszámot!",Siamo spiacenti ma il tuo clan ha raggiunto il numero massimo di giocatori!,"¡Lo siento, pero tu clan alcanzó la cantidad máxima de jugadores!",Votre clan a atteint sa limite de joueurs !,抱歉，您的家族達到了玩家人數上限！,申し訳ありませんが、クランはプレイヤーの最大数に達しました！,"Desculpe, seu clan atingiu o número máximo de jogadores!",抱歉，您的家族达到了玩家人数上限！
AB_InvitedToClan,Succesfully invited:,Succesfully invited:,Úspěšně pozváno:,Erfolgreich eingeladen:,Вы успешно пригласили:,Zaproszono pomyślnie:,Sikeresen meghívva:,Invitato con successo:,Invitado con éxito:,Invitation envoyée,成功邀請：,正常に招待されました：,Convidou com sucesso:,成功邀请：
AB_YouGotAnInviteFromClan,You got an invite from clan:,You got an invite from clan:,Dostali jste pozvánku z klanu:,Du hast eine neue Claneinladung von:,Вы получили приглашение в клан:,Masz zaproszenie od klanu:,You got an invite from clan:,Hai ricevuto un invito dal clan:,Recibiste una invitación del clan:,Vous avez une invitation de clan,您收到了氏族的邀請：,クランから招待状を受け取りました：,Você recebeu um convite do clan:,您收到了氏族的邀请：
AB_CanNotKickSelf,"You cant kick yourself, please use the leave function!","You cant kick yourself, please use the leave function!","Nemůžete se nakopat, použijte funkci dovolené!",Du kannst dich nicht selbst aus dem clan kicken!,"Изгнать себя невозможно, воспользуйтесь выходом!","Nie możesz się kopnąć, użyj funkcji wyjścia!","Nem tudja rúgni magát, kérem, használja a szabadság funkciót!","Non puoi prenderti a calci, usa la funzione leave!","¡No puedes patearte, usa la función de licencia!","Vous ne pouvez pas vous exclure, utilisez la fonction quitter !",您不能踢自己，請使用請假功能！,蹴れないので、脱退機能を使ってください！,"Não é possível expulsar você mesmo, use a opção sair!",您不能踢自己，请使用请假功能！
AB_ThisPlayerIsNotInYourClan,This Player is not in your Clan!,This Player is not in your Clan!,Tento hráč není ve vašem klanu!,Der Spieler ist nicht in deinem Clan!,Этого игрока нет в вашем клане!,Tego gracza nie ma w twoim klanie!,Ez a játékos nincs a klánodban!,Questo giocatore non è nel tuo clan!,¡Este jugador no está en tu clan!,Ce joueur ne fait pas parti de votre clan,該玩家不在您的氏族中！,このプレイヤーはあなたの一族にいません！,Esse jogador não está no seu clan!,该玩家不在您的氏族中！
AB_CanNotKickOwner,You can not kick the clan Owner! Leave the clan if you dont like him!,You can not kick the clan Owner! Leave the clan if you dont like him!,"Nemůžete kopnout majitele klanu! Opusťte klan, pokud se vám nelíbí!",Du kannst den Clan Besitzer nicht aus seinem clan kicken.,Вы не можете исключить владельца клана!,"Nie możesz wyrzucić właściciela klanu! Opuść klan, jeśli go nie lubisz!","Nem rúghatja el a klán tulajdonosát! Hagyja el a klánt, ha nem tetszik neki!",Non puoi cacciare il proprietario del clan! Lascia il clan se non ti piace!,¡No puedes patear al dueño del clan! ¡Deja el clan si no te gusta!,Vous ne pouvez pas exclure le propriétaire du clan !,你不能踢氏族主人！如果你不喜歡他，就離開氏族！,クランオーナーを蹴ることはできません！彼が気に入らない場合は一族を離れてください！,Você não pode expulsar o dono do clan! Saia do clan caso você não goste dele!,你不能踢氏族主人！如果你不喜欢他，就离开氏族！
AB_SucessKicked,Sucesfully Kicked:,Sucesfully Kicked:,Úspěšně nakopnuto:,Spieler wurde raus geschmissen:,Вы исключили:,Pomyślnie wyrzucony:,Sucosan rúgott:,Sucesfully Kicked:,Pateado con éxito:,Membre exclu avec succès,成功踢出：,正常にキックされました：,Expulso com sucesso:,成功踢出：
AB_YouHaveBeenKicked,You have been kicked from,You have been kicked from,Byl z vás vyhozen,Du wurdest rausgeschmissen von:,Вас исключили,Zostałeś wyrzucony z,Téged kirúgtak,Sei stato cacciato da,Te han echado de,Vous avez été exclu de,您已被踢出,あなたはから追い出されました,Você foi expulso,您已被踢出
AB_TryToModifyClanOwnersPermission,You really think you can do that? NOPE!!,You really think you can do that? NOPE!!,"Opravdu si myslíš, že to dokážeš? ANI NÁHODOU!!",Denkst du wirklich das kannst du machen? Nein!,"Ты правда думаешь, что сможешь это сделать? Нет!","Naprawdę myślisz, że możesz to zrobić? NIE!!","Tényleg azt hiszed, hogy meg tudod csinálni? DEHOGY!!",Pensi davvero di poterlo fare? NO!!,¿De verdad crees que puedes hacer eso? ¡¡NO!!,Vous pensiez vraiment pouvoir fait ça ? Même pas en rêve..,您真的以為可以做到嗎？沒有！！,あなたは本当にそれができると思いますか？いいえ！,Você acha que pode fazer isso? Nope!!,您真的以为可以做到吗？没有！！
AB_PermissionsUpdated,Sucesfully updated permission for:,Sucesfully updated permission for:,Úspěšně aktualizované oprávnění pro:,Erfolgreich aktualisierte Berechtigung für:,Успешно обновлено разрешение для:,Pomyślnie zaktualizowano uprawnienia dla:,Sikeresen frissített engedély:,Autorizzazione aggiornata con successo per:,Permiso actualizado con éxito para:,Permissions modifiées pour,成功更新了以下權限：,正常に更新された権限：,Permissão atualizada com sucesso para:,成功更新了以下权限：
AB_PermissionsHasBeenChanged,Clan Permission has been changed!,Clan Permission has been changed!,Klanové oprávnění bylo změněno!,Die Clan-Berechtigung wurde geändert!,Разрешения для клана были изменены!,Zmieniono uprawnienia klanu!,A klán engedélye megváltozott!,L'autorizzazione del clan è stata modificata!,¡Se ha cambiado el permiso del clan!,Permissions du clan modifiées,氏族權限已更改！,クランの許可が変更されました！,Permissão do clan foi modificada!,氏族权限已更改！
AB_ClanDeleted,You Successfully deleted your clan!,You Successfully deleted your clan!,Úspěšně jste smazali svůj klan!,Du hast deinen Clan erfolgreich gelöscht!,Вы успешно удалили свой клан!,Pomyślnie usunąłeś swój klan!,Sikeresen törölte a klánját!,Hai eliminato con successo il tuo clan!,¡Has eliminado tu clan con éxito!,Vous avez supprimé votre clan !,您已成功刪除您的氏族！,クランを正常に削除しました！,Você apagou seu clan com sucesso!,您已成功删除您的氏族！
AB_SomethingWentWrong,Something went wrong!,Something went wrong!,Něco se pokazilo!,Etwas ist schief gelaufen!,Что-то пошло не так!,Coś poszło nie tak!,Valami elromlott!,Qualcosa è andato storto!,¡Algo salió mal!,"Hum, quelque chose d'inattendu c'est produit !",出了些問題！,何かがうまくいかなかった！,Algo saiu errado!,出了些问题！
AB_SucesfullyLeavedClan,Successfully leaved the clan:,Successfully leaved the clan:,Klan úspěšně opustil:,Hat den Clan erfolgreich verlassen:,Вы вышли из клана:,Pomyślnie opuścił klan:,Sikeresen távozott a klánból:,Abbandonato con successo il clan:,Abandonó con éxito el clan:,Vous avez quitté le clan,成功離開氏族：,クランを無事に去りました：,Você saiu do clan:,成功离开氏族：
AB_ClanNameUpdated,Succesfully Updated ClanName to:,Succesfully Updated ClanName to:,Úspěšně aktualizován název klanu na:,ClanName erfolgreich aktualisiert auf:,Название клана обновлено:,Pomyślnie zaktualizowano nazwę klanu do:,Sikeresen frissítette a ClanName címet erre:,ClanName aggiornato con successo a:,ClanName actualizado con éxito a:,Vous avez changé le nom du clan pour,成功地將ClanName更新為：,ClanNameを次のように更新しました。,Nome do clan atualizado para:,成功地将ClanName更新为：
AB_ClanTagUpdated,Succesfully Updated ClanTag to:,Succesfully Updated ClanTag to:,Klan byl úspěšně aktualizován na:,ClanTag erfolgreich aktualisiert auf:,Обновлен клан тег для:,Pomyślnie zaktualizowano tag klanu na:,A ClanTag sikeresen frissítve ide:,ClanTag aggiornato con successo a:,ClanTag actualizado con éxito para:,Vous avez changé le tag du clan pour,將ClanTag成功更新為：,ClanTagを次のように正常に更新しました：,Tag do clan atualizada para:,成功地将ClanTag更新为：
AB_NotEnoughtMoneyOnAccount,Sorry but you dont have enough money on the clan account!,Sorry but you dont have enough money on the clan account!,"Omlouváme se, ale na klanovém účtu nemáte dost peněz!","Sorry, aber du hast nicht genug Geld auf dem Clankonto!",Недостаточно денег на клановом счету!,"Przepraszamy, ale nie masz wystarczająco dużo pieniędzy na koncie klanowym!","Elnézést, de nincs elég pénze a klán számláján!",Scusa ma non hai abbastanza soldi sul conto del clan!,"¡Lo siento, pero no tienes suficiente dinero en la cuenta del clan!",Vous n'avez pas assez d'argent dans votre compte de clan !,抱歉，您的公會帳戶裡沒有足夠的錢！,申し訳ありませんが、クランアカウントに十分なお金がありません！,"Desculpe, mas você não tem dinheiro suficiente na conta do clan!",抱歉，您的公会帐户里没有足够的钱！
AB_NotEnoughtMoneyInInventory,Sorry but you dont have enought money in your inventory!,Sorry but you dont have enought money in your inventory!,"Litujeme, ale ve svém inventáři nemáte dost peněz!","Entschuldigung, aber Sie haben nicht genug Geld in Ihrem Inventar!",У вас не достаточно денег в инвентаре!,"Przepraszamy, ale nie masz wystarczająco dużo pieniędzy w ekwipunku!","Sajnálom, de nem keresett pénzt a készletében!",Scusa ma non hai abbastanza soldi nel tuo inventario!,"Lo siento, pero no tiene suficiente dinero en su inventario.",Vous n'avez pas assez d'argent dans votre inventaire !,抱歉，您的庫存中沒有足夠的錢！,申し訳ありませんが、在庫に十分なお金がありません！,"Desculpe, mas você não tem dinheiro suficiente no seu inventário!",抱歉，您的库存中没有足够的钱！
AB_ClanTagIsToLong,ClanTag length can not be longer as 4 chars!,ClanTag length can not be longer as 4 chars!,Délka ClanTag nesmí být delší než 4 znaky!,Die ClanTag-Länge darf nicht länger als 4 Zeichen sein!,Клан тег не может быть длиннее 4 символов!,Długość ClanTag nie może przekraczać 4 znaków!,"A ClanTag hossza nem lehet hosszabb, mint 4 karakter!",La lunghezza di ClanTag non può essere superiore a 4 caratteri!,¡La longitud de ClanTag no puede ser superior a 4 caracteres!,Le tag de clan ne peut excéder 4 caractères !,ClanTag的長度不能超過4個字符！,ClanTag length can not be longer as 4 chars!,A tag do clan não pode ter mais de 4 caracteres!,ClanTag的长度不能超过4个字符！
